mean,hdi_5.5%,hdi_94.5%,time

0.971,0.943,0.999,5.1020408163265305
0.923,0.867,0.977,10.204081632653061
0.868,0.792,0.946,15.306122448979592
0.816,0.727,0.91,20.408163265306122
0.768,0.67,0.874,25.51020408163265
0.726,0.617,0.835,30.612244897959183
0.688,0.58,0.806,35.714285714285715
0.654,0.547,0.78,40.816326530612244
0.624,0.508,0.745,45.91836734693877
0.596,0.487,0.726,51.0204081632653
0.572,0.461,0.701,56.12244897959184
0.549,0.439,0.681,61.224489795918366
0.529,0.415,0.658,66.3265306122449
0.51,0.385,0.627,71.42857142857143
0.493,0.371,0.614,76.53061224489795
0.477,0.351,0.595,81.63265306122449
0.463,0.34,0.584,86.73469387755102
0.449,0.325,0.57,91.83673469387755
0.436,0.303,0.549,96.93877551020408
0.425,0.294,0.54,102.0408163265306
0.414,0.282,0.528,107.14285714285714
0.403,0.268,0.515,112.24489795918367
0.393,0.257,0.505,117.3469387755102
0.384,0.252,0.501,122.44897959183673
0.376,0.241,0.49,127.55102040816327
0.368,0.235,0.485,132.6530612244898
0.36,0.228,0.478,137.75510204081633
0.352,0.219,0.471,142.85714285714286
0.346,0.213,0.466,147.9591836734694
0.339,0.209,0.463,153.0612244897959
0.333,0.203,0.457,158.16326530612244
0.327,0.197,0.452,163.26530612244898
0.321,0.189,0.445,168.3673469387755
0.315,0.184,0.44,173.46938775510205
0.31,0.179,0.436,178.57142857142856
0.305,0.175,0.432,183.6734693877551
0.3,0.167,0.425,188.77551020408163
0.296,0.158,0.416,193.87755102040816
0.291,0.159,0.417,198.9795918367347
0.287,0.155,0.414,204.0816326530612
0.283,0.151,0.409,209.18367346938774
0.279,0.147,0.405,214.28571428571428
0.275,0.143,0.403,219.3877551020408
0.271,0.142,0.4,224.48979591836735
0.268,0.138,0.397,229.59183673469389
0.264,0.131,0.389,234.6938775510204
0.261,0.124,0.383,239.79591836734693
0.258,0.13,0.389,244.89795918367346
0.255,0.121,0.379,250.0
